CANDIDATE 	THIS ROUND 	TOTAL 	STATUS
Mazen, Nadeem A. 	0  	1786  	 ELECTED -- 1st count
Simmons, E. Denise 	+3  	1727  	 CONTINUING
Maher, David P. 	+3  	1652  	 CONTINUING
Kelley, Craig A. 	+8  	1449  	 CONTINUING
Toomey, Jr., Timothy J. 	+5  	1423  	 CONTINUING
Devereux, Jan 	+3  	1319  	 CONTINUING
McGovern, Marc C. 	+2  	1214  	 CONTINUING
Cheung, Leland 	+6  	1201  	 CONTINUING
Benzan, Dennis A. 	+1  	1165  	 CONTINUING
vanBeuzekom, Minka Y. 	+3  	1025  	 CONTINUING
Carlone, Dennis J. 	0  	1018  	 CONTINUING
Davidson, Mariko 	+6  	895  	 CONTINUING
Connolly, Mike 	+7  	855  	 CONTINUING
Waite, Romaine 	+3  	287  	 CONTINUING
Mahoney, Jr., Paul F. 	+2  	254  	 CONTINUING
Levy, Ilan S. 	+1  	155  	 CONTINUING
Mello, Gary W. 	0  	119  	 CONTINUING
Courtney, Kim 	+12  	84  	 CONTINUING
Moree, Gregg J. 	+2  	81  	 CONTINUING
Williamson, James M. 	0  	73  	 CONTINUING
Degoes, Jr., Plinio T. 	0  	52  	 DEFEATED -- 3rd count
Sanzone, John 	-33  	0  	 DEFEATED -- 2nd count
Dietrich, Xavier 	-27  	0  	 DEFEATED -- 2nd count
Write-In 1 	-25  	0  	 DEFEATED -- 2nd count
Write-In 2 	-1  	0  	 DEFEATED -- 2nd count
Write-In 4 	-1  	0  	 DEFEATED -- 2nd count
Write-In 3 	0  	0  	 DEFEATED -- 2nd count
Write-In 5 	0  	0  	 DEFEATED -- 2nd count
Write-In 6 	0  	0  	 DEFEATED -- 2nd count
Write-In 7 	0  	0  	 DEFEATED -- 2nd count
Write-In 8 	0  	0  	 DEFEATED -- 2nd count
Write-In 9 	0  	0  	 DEFEATED -- 2nd count
EXHAUSTED PILE: 	+20  	20  	 
