CANDIDATE 	THIS ROUND 	TOTAL 	STATUS
Simmons, E. Denise 	0  	2253  	 ELECTED -- 1st count
Siddiqui, Sumbul 	0  	2253  	 ELECTED -- 1st count
McGovern, Marc C. 	+9  	1968  	 CONTINUING
Devereux, Jan 	+2  	1769  	 CONTINUING
Toomey, Jr., Timothy J. 	+15  	1685  	 CONTINUING
Zondervan, Quinton Y. 	0  	1609  	 CONTINUING
Mallon, Alanna M. 	+3  	1375  	 CONTINUING
Carlone, Dennis J. 	+4  	1215  	 CONTINUING
Kelley, Craig A. 	+6  	1129  	 CONTINUING
Toner, Paul F. 	+8  	1010  	 CONTINUING
Harding, Jr., Richard 	+2  	907  	 CONTINUING
Gebru, Samuel 	+2  	829  	 CONTINUING
Sivongxay, Vatsady 	+2  	810  	 CONTINUING
Tierney, Sean 	+5  	799  	 CONTINUING
Musgrave, Adriane B. 	+4  	592  	 CONTINUING
Okamoto, Nadya T. 	+8  	573  	 CONTINUING
Burgin, Josh M. 	+7  	403  	 CONTINUING
Volmar, Gwen Thomas 	+3  	259  	 CONTINUING
Benjamin, Ronald 	+3  	257  	 CONTINUING
Levy, Ilan 	0  	251  	 CONTINUING
D'Ambrosio, Olivia 	+4  	226  	 CONTINUING
Santos, Jeff 	+5  	158  	 CONTINUING
Pillai, Hari I. 	+1  	115  	 CONTINUING
Lenke, Dan 	+3  	59  	 DEFEATED -- 4th count
Moree, Gregg J. 	-47  	0  	 DEFEATED -- 3rd count
Sutton, Bryan 	-47  	0  	 DEFEATED -- 3rd count
Write-In 1 	-22  	0  	 DEFEATED -- 3rd count
EXHAUSTED PILE: 	+20  	20  	 
