,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17
,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes
"Cheung, Leland ",2391, ELECTED -- 1st count,2391,-616, ELECTED -- 1st count,1775,0, ELECTED -- 1st count,1775,0, ELECTED -- 1st count,1775,0, ELECTED -- 1st count,1775,0, ELECTED -- 1st count,1775,0, ELECTED -- 1st count,1775,0, ELECTED -- 1st count,1775,0, ELECTED -- 1st count,1775,0, ELECTED -- 1st count,1775,0, ELECTED -- 1st count,1775,0, ELECTED -- 1st count,1775,0, ELECTED -- 1st count,1775,0, ELECTED -- 1st count,1775,0, ELECTED -- 1st count,1775,0, ELECTED -- 1st count,1775,0, ELECTED -- 1st count,1775
"Maher, David P. ",1464, CONTINUING,1464,68, CONTINUING,1532,2, CONTINUING,1534,1, CONTINUING,1535,3, CONTINUING,1538,7, CONTINUING,1545,5, CONTINUING,1550,5, CONTINUING,1555,17, CONTINUING,1572,11, CONTINUING,1583,20, CONTINUING,1603,26, CONTINUING,1629,68, CONTINUING,1697,44, CONTINUING,1741,34, ELECTED -- 15th count,1775,0, ELECTED -- 15th count,1775,0, ELECTED -- 15th count,1775
"Toomey, Jr., Timothy J. ",1457, CONTINUING,1457,24, CONTINUING,1481,7, CONTINUING,1488,2, CONTINUING,1490,3, CONTINUING,1493,7, CONTINUING,1500,0, CONTINUING,1500,2, CONTINUING,1502,22, CONTINUING,1524,11, CONTINUING,1535,8, CONTINUING,1543,18, CONTINUING,1561,42, CONTINUING,1603,43, CONTINUING,1646,41, CONTINUING,1687,88, ELECTED -- 16th count,1775,0, ELECTED -- 16th count,1775
"Benzan, Dennis A. ",1301, CONTINUING,1301,25, CONTINUING,1326,3, CONTINUING,1329,3, CONTINUING,1332,2, CONTINUING,1334,5, CONTINUING,1339,16, CONTINUING,1355,4, CONTINUING,1359,48, CONTINUING,1407,1, CONTINUING,1408,19, CONTINUING,1427,43, CONTINUING,1470,28, CONTINUING,1498,52, CONTINUING,1550,66, CONTINUING,1616,159, ELECTED -- 16th count,1775,0, ELECTED -- 16th count,1775
"McGovern, Marc C. ",1187, CONTINUING,1187,61, CONTINUING,1248,2, CONTINUING,1250,0, CONTINUING,1250,3, CONTINUING,1253,6, CONTINUING,1259,4, CONTINUING,1263,5, CONTINUING,1268,21, CONTINUING,1289,19, CONTINUING,1308,25, CONTINUING,1333,44, CONTINUING,1377,32, CONTINUING,1409,69, CONTINUING,1478,114, CONTINUING,1592,87, CONTINUING,1679,96, ELECTED -- 17th count,1775
"Simmons, E. Denise ",1184, CONTINUING,1184,49, CONTINUING,1233,6, CONTINUING,1239,6, CONTINUING,1245,13, CONTINUING,1258,7, CONTINUING,1265,6, CONTINUING,1271,0, CONTINUING,1271,20, CONTINUING,1291,13, CONTINUING,1304,25, CONTINUING,1329,47, CONTINUING,1376,16, CONTINUING,1392,63, CONTINUING,1455,82, CONTINUING,1537,238, ELECTED -- 16th count,1775,0, ELECTED -- 16th count,1775
"Carlone, Dennis J. ",1151, CONTINUING,1151,25, CONTINUING,1176,1, CONTINUING,1177,8, CONTINUING,1185,3, CONTINUING,1188,3, CONTINUING,1191,11, CONTINUING,1202,25, CONTINUING,1227,11, CONTINUING,1238,12, CONTINUING,1250,63, CONTINUING,1313,33, CONTINUING,1346,29, CONTINUING,1375,50, CONTINUING,1425,93, CONTINUING,1518,30, CONTINUING,1548,227, ELECTED -- 17th count,1775
"Kelley, Craig A. ",1093, CONTINUING,1093,74, CONTINUING,1167,4, CONTINUING,1171,1, CONTINUING,1172,2, CONTINUING,1174,1, CONTINUING,1175,4, CONTINUING,1179,13, CONTINUING,1192,10, CONTINUING,1202,6, CONTINUING,1208,34, CONTINUING,1242,38, CONTINUING,1280,43, CONTINUING,1323,44, CONTINUING,1367,107, CONTINUING,1474,91, CONTINUING,1565,210, ELECTED -- 17th count,1775
"Mazen, Nadeem A. ",985, CONTINUING,985,36, CONTINUING,1021,5, CONTINUING,1026,8, CONTINUING,1034,5, CONTINUING,1039,12, CONTINUING,1051,15, CONTINUING,1066,8, CONTINUING,1074,21, CONTINUING,1095,103, CONTINUING,1198,66, CONTINUING,1264,43, CONTINUING,1307,35, CONTINUING,1342,90, CONTINUING,1432,64, CONTINUING,1496,53, CONTINUING,1549,226, ELECTED -- 17th count,1775
