,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19
,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes
"Simmons, E. Denise ",2616, ELECTED -- 1st count,2616,-363, ELECTED -- 1st count,2253,0, ELECTED -- 1st count,2253,0, ELECTED -- 1st count,2253,0, ELECTED -- 1st count,2253,0, ELECTED -- 1st count,2253,0, ELECTED -- 1st count,2253,0, ELECTED -- 1st count,2253,0, ELECTED -- 1st count,2253,0, ELECTED -- 1st count,2253,0, ELECTED -- 1st count,2253,0, ELECTED -- 1st count,2253,0, ELECTED -- 1st count,2253,0, ELECTED -- 1st count,2253,0, ELECTED -- 1st count,2253,0, ELECTED -- 1st count,2253,0, ELECTED -- 1st count,2253,0, ELECTED -- 1st count,2253,0, ELECTED -- 1st count,2253
"Siddiqui, Sumbul ",2532, ELECTED -- 1st count,2532,0, ELECTED -- 1st count,2532,-279, ELECTED -- 1st count,2253,0, ELECTED -- 1st count,2253,0, ELECTED -- 1st count,2253,0, ELECTED -- 1st count,2253,0, ELECTED -- 1st count,2253,0, ELECTED -- 1st count,2253,0, ELECTED -- 1st count,2253,0, ELECTED -- 1st count,2253,0, ELECTED -- 1st count,2253,0, ELECTED -- 1st count,2253,0, ELECTED -- 1st count,2253,0, ELECTED -- 1st count,2253,0, ELECTED -- 1st count,2253,0, ELECTED -- 1st count,2253,0, ELECTED -- 1st count,2253,0, ELECTED -- 1st count,2253,0, ELECTED -- 1st count,2253
"McGovern, Marc C. ",1880, CONTINUING,1880,63, CONTINUING,1943,16, CONTINUING,1959,9, CONTINUING,1968,1, CONTINUING,1969,5, CONTINUING,1974,14, CONTINUING,1988,13, CONTINUING,2001,15, CONTINUING,2016,19, CONTINUING,2035,17, CONTINUING,2052,38, CONTINUING,2090,91, CONTINUING,2181,43, CONTINUING,2224,29, ELECTED -- 15th count,2253,0, ELECTED -- 15th count,2253,0, ELECTED -- 15th count,2253,0, ELECTED -- 15th count,2253,0, ELECTED -- 15th count,2253
"Devereux, Jan ",1699, CONTINUING,1699,38, CONTINUING,1737,30, CONTINUING,1767,2, CONTINUING,1769,3, CONTINUING,1772,7, CONTINUING,1779,8, CONTINUING,1787,35, CONTINUING,1822,14, CONTINUING,1836,19, CONTINUING,1855,24, CONTINUING,1879,40, CONTINUING,1919,34, CONTINUING,1953,80, CONTINUING,2033,74, CONTINUING,2107,98, CONTINUING,2205,48, ELECTED -- 17th count,2253,0, ELECTED -- 17th count,2253,0, ELECTED -- 17th count,2253
"Toomey, Jr., Timothy J. ",1619, CONTINUING,1619,46, CONTINUING,1665,5, CONTINUING,1670,15, CONTINUING,1685,4, CONTINUING,1689,6, CONTINUING,1695,14, CONTINUING,1709,2, CONTINUING,1711,11, CONTINUING,1722,45, CONTINUING,1767,12, CONTINUING,1779,22, CONTINUING,1801,12, CONTINUING,1813,18, CONTINUING,1831,31, CONTINUING,1862,95, CONTINUING,1957,46, CONTINUING,2003,250, ELECTED -- 18th count,2253,0, ELECTED -- 18th count,2253
"Zondervan, Quinton Y. ",1565, CONTINUING,1565,7, CONTINUING,1572,37, CONTINUING,1609,0, CONTINUING,1609,4, CONTINUING,1613,13, CONTINUING,1626,23, CONTINUING,1649,23, CONTINUING,1672,3, CONTINUING,1675,47, CONTINUING,1722,36, CONTINUING,1758,10, CONTINUING,1768,28, CONTINUING,1796,67, CONTINUING,1863,82, CONTINUING,1945,71, CONTINUING,2016,237, ELECTED -- 17th count,2253,0, ELECTED -- 17th count,2253,0, ELECTED -- 17th count,2253
"Mallon, Alanna M. ",1329, CONTINUING,1329,12, CONTINUING,1341,31, CONTINUING,1372,3, CONTINUING,1375,5, CONTINUING,1380,4, CONTINUING,1384,7, CONTINUING,1391,25, CONTINUING,1416,10, CONTINUING,1426,18, CONTINUING,1444,38, CONTINUING,1482,29, CONTINUING,1511,122, CONTINUING,1633,63, CONTINUING,1696,130, CONTINUING,1826,306, CONTINUING,2132,121, ELECTED -- 17th count,2253,0, ELECTED -- 17th count,2253,0, ELECTED -- 17th count,2253
"Carlone, Dennis J. ",1176, CONTINUING,1176,13, CONTINUING,1189,22, CONTINUING,1211,4, CONTINUING,1215,0, CONTINUING,1215,7, CONTINUING,1222,7, CONTINUING,1229,19, CONTINUING,1248,11, CONTINUING,1259,16, CONTINUING,1275,16, CONTINUING,1291,23, CONTINUING,1314,18, CONTINUING,1332,41, CONTINUING,1373,47, CONTINUING,1420,60, CONTINUING,1480,226, CONTINUING,1706,151, CONTINUING,1857,234, ELECTED -- 19th count,2091
"Kelley, Craig A. ",1092, CONTINUING,1092,21, CONTINUING,1113,10, CONTINUING,1123,6, CONTINUING,1129,0, CONTINUING,1129,1, CONTINUING,1130,3, CONTINUING,1133,6, CONTINUING,1139,7, CONTINUING,1146,11, CONTINUING,1157,8, CONTINUING,1165,32, CONTINUING,1197,28, CONTINUING,1225,28, CONTINUING,1253,44, CONTINUING,1297,89, CONTINUING,1386,87, CONTINUING,1473,129, CONTINUING,1602,397, ELECTED -- 19th count,1999
"Toner, Paul F. ",980, CONTINUING,980,12, CONTINUING,992,10, CONTINUING,1002,8, CONTINUING,1010,4, CONTINUING,1014,2, CONTINUING,1016,4, CONTINUING,1020,4, CONTINUING,1024,8, CONTINUING,1032,16, CONTINUING,1048,4, CONTINUING,1052,30, CONTINUING,1082,25, CONTINUING,1107,14, CONTINUING,1121,32, CONTINUING,1153,154, CONTINUING,1307,75, CONTINUING,1382,121, DEFEATED -- 18th count,1503,-1503, DEFEATED -- 18th count,0
"Harding, Jr., Richard ",836, CONTINUING,836,57, CONTINUING,893,12, CONTINUING,905,2, CONTINUING,907,1, CONTINUING,908,0, CONTINUING,908,8, CONTINUING,916,8, CONTINUING,924,30, CONTINUING,954,8, CONTINUING,962,11, CONTINUING,973,22, CONTINUING,995,21, CONTINUING,1016,19, CONTINUING,1035,136, CONTINUING,1171,73, CONTINUING,1244,104, DEFEATED -- 17th count,1348,-1348, DEFEATED -- 17th count,0,0, DEFEATED -- 17th count,0
"Gebru, Samuel ",787, CONTINUING,787,21, CONTINUING,808,19, CONTINUING,827,2, CONTINUING,829,2, CONTINUING,831,4, CONTINUING,835,3, CONTINUING,838,5, CONTINUING,843,24, CONTINUING,867,4, CONTINUING,871,14, CONTINUING,885,24, CONTINUING,909,38, CONTINUING,947,61, DEFEATED -- 14th count,1008,-1008, DEFEATED -- 14th count,0,0, DEFEATED -- 14th count,0,0, DEFEATED -- 14th count,0,0, DEFEATED -- 14th count,0,0, DEFEATED -- 14th count,0
"Tierney, Sean ",779, CONTINUING,779,9, CONTINUING,788,6, CONTINUING,794,5, CONTINUING,799,1, CONTINUING,800,3, CONTINUING,803,7, CONTINUING,810,9, CONTINUING,819,5, CONTINUING,824,7, CONTINUING,831,13, CONTINUING,844,31, CONTINUING,875,127, CONTINUING,1002,38, CONTINUING,1040,105, DEFEATED -- 15th count,1145,-1145, DEFEATED -- 15th count,0,0, DEFEATED -- 15th count,0,0, DEFEATED -- 15th count,0,0, DEFEATED -- 15th count,0
"Sivongxay, Vatsady ",740, CONTINUING,740,18, CONTINUING,758,50, CONTINUING,808,2, CONTINUING,810,5, CONTINUING,815,10, CONTINUING,825,13, CONTINUING,838,20, CONTINUING,858,4, CONTINUING,862,19, CONTINUING,881,34, CONTINUING,915,7, CONTINUING,922,30, CONTINUING,952,125, CONTINUING,1077,92, CONTINUING,1169,53, DEFEATED -- 16th count,1222,-1222, DEFEATED -- 16th count,0,0, DEFEATED -- 16th count,0,0, DEFEATED -- 16th count,0
"Musgrave, Adriane ",580, CONTINUING,580,5, CONTINUING,585,3, CONTINUING,588,4, CONTINUING,592,2, CONTINUING,594,4, CONTINUING,598,1, CONTINUING,599,4, CONTINUING,603,6, CONTINUING,609,4, CONTINUING,613,13, CONTINUING,626,13, DEFEATED -- 12th count,639,-639, DEFEATED -- 12th count,0,0, DEFEATED -- 12th count,0,0, DEFEATED -- 12th count,0,0, DEFEATED -- 12th count,0,0, DEFEATED -- 12th count,0,0, DEFEATED -- 12th count,0,0, DEFEATED -- 12th count,0
"Okamoto, Nadya T. ",550, CONTINUING,550,8, CONTINUING,558,7, CONTINUING,565,8, CONTINUING,573,1, CONTINUING,574,15, CONTINUING,589,12, CONTINUING,601,24, CONTINUING,625,13, CONTINUING,638,10, CONTINUING,648,18, CONTINUING,666,13, CONTINUING,679,39, DEFEATED -- 13th count,718,-718, DEFEATED -- 13th count,0,0, DEFEATED -- 13th count,0,0, DEFEATED -- 13th count,0,0, DEFEATED -- 13th count,0,0, DEFEATED -- 13th count,0,0, DEFEATED -- 13th count,0
"Burgin, Josh M. ",392, CONTINUING,392,1, CONTINUING,393,3, CONTINUING,396,7, CONTINUING,403,0, CONTINUING,403,3, CONTINUING,406,2, CONTINUING,408,6, CONTINUING,414,16, CONTINUING,430,3, CONTINUING,433,8, DEFEATED -- 11th count,441,-441, DEFEATED -- 11th count,0,0, DEFEATED -- 11th count,0,0, DEFEATED -- 11th count,0,0, DEFEATED -- 11th count,0,0, DEFEATED -- 11th count,0,0, DEFEATED -- 11th count,0,0, DEFEATED -- 11th count,0,0, DEFEATED -- 11th count,0
"Volmar, Gwen Thomas ",248, CONTINUING,248,4, CONTINUING,252,4, CONTINUING,256,3, CONTINUING,259,2, CONTINUING,261,3, CONTINUING,264,6, CONTINUING,270,12, CONTINUING,282,7, CONTINUING,289,10, DEFEATED -- 10th count,299,-299, DEFEATED -- 10th count,0,0, DEFEATED -- 10th count,0,0, DEFEATED -- 10th count,0,0, DEFEATED -- 10th count,0,0, DEFEATED -- 10th count,0,0, DEFEATED -- 10th count,0,0, DEFEATED -- 10th count,0,0, DEFEATED -- 10th count,0,0, DEFEATED -- 10th count,0
