,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15
,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes
"Siddiqui, Sumbul ",2516, ELECTED -- 1st count,2516,-392, ELECTED -- 1st count,2124,0, ELECTED -- 1st count,2124,0, ELECTED -- 1st count,2124,0, ELECTED -- 1st count,2124,0, ELECTED -- 1st count,2124,0, ELECTED -- 1st count,2124,0, ELECTED -- 1st count,2124,0, ELECTED -- 1st count,2124,0, ELECTED -- 1st count,2124,0, ELECTED -- 1st count,2124,0, ELECTED -- 1st count,2124,0, ELECTED -- 1st count,2124,0, ELECTED -- 1st count,2124,0, ELECTED -- 1st count,2124
"Simmons, E. Denise ",2007, CONTINUING,2007,75, CONTINUING,2082,5, CONTINUING,2087,7, CONTINUING,2094,4, CONTINUING,2098,20, CONTINUING,2118,6, ELECTED -- 7th count,2124,0, ELECTED -- 7th count,2124,0, ELECTED -- 7th count,2124,0, ELECTED -- 7th count,2124,0, ELECTED -- 7th count,2124,0, ELECTED -- 7th count,2124,0, ELECTED -- 7th count,2124,0, ELECTED -- 7th count,2124,0, ELECTED -- 7th count,2124
"Toomey, Jr., Timothy J. ",1729, CONTINUING,1729,15, CONTINUING,1744,9, CONTINUING,1753,5, CONTINUING,1758,6, CONTINUING,1764,4, CONTINUING,1768,17, CONTINUING,1785,12, CONTINUING,1797,14, CONTINUING,1811,12, CONTINUING,1823,33, CONTINUING,1856,24, CONTINUING,1880,32, CONTINUING,1912,95, CONTINUING,2007,117, ELECTED -- 15th count,2124
"Nolan, Patricia M. ",1685, CONTINUING,1685,15, CONTINUING,1700,8, CONTINUING,1708,4, CONTINUING,1712,5, CONTINUING,1717,30, CONTINUING,1747,18, CONTINUING,1765,35, CONTINUING,1800,24, CONTINUING,1824,118, CONTINUING,1942,124, CONTINUING,2066,58, ELECTED -- 12th count,2124,0, ELECTED -- 12th count,2124,0, ELECTED -- 12th count,2124,0, ELECTED -- 12th count,2124
"McGovern, Marc C. ",1621, CONTINUING,1621,32, CONTINUING,1653,3, CONTINUING,1656,7, CONTINUING,1663,2, CONTINUING,1665,18, CONTINUING,1683,12, CONTINUING,1695,24, CONTINUING,1719,19, CONTINUING,1738,15, CONTINUING,1753,32, CONTINUING,1785,38, CONTINUING,1823,151, CONTINUING,1974,150, ELECTED -- 14th count,2124,0, ELECTED -- 14th count,2124
"Carlone, Dennis J. ",1479, CONTINUING,1479,10, CONTINUING,1489,0, CONTINUING,1489,0, CONTINUING,1489,13, CONTINUING,1502,26, CONTINUING,1528,18, CONTINUING,1546,28, CONTINUING,1574,12, CONTINUING,1586,63, CONTINUING,1649,78, CONTINUING,1727,95, CONTINUING,1822,40, CONTINUING,1862,62, CONTINUING,1924,200, ELECTED -- 15th count,2124
"Kelley, Craig A. ",1422, CONTINUING,1422,12, CONTINUING,1434,1, CONTINUING,1435,3, CONTINUING,1438,9, CONTINUING,1447,9, CONTINUING,1456,8, CONTINUING,1464,17, CONTINUING,1481,14, CONTINUING,1495,70, CONTINUING,1565,110, CONTINUING,1675,70, CONTINUING,1745,62, CONTINUING,1807,57, DEFEATED -- 14th count,1864,-1864, DEFEATED -- 14th count,0
"Zondervan, Quinton Y. ",1382, CONTINUING,1382,31, CONTINUING,1413,1, CONTINUING,1414,7, CONTINUING,1421,16, CONTINUING,1437,20, CONTINUING,1457,40, CONTINUING,1497,44, CONTINUING,1541,21, CONTINUING,1562,48, CONTINUING,1610,111, CONTINUING,1721,271, CONTINUING,1992,65, CONTINUING,2057,67, ELECTED -- 14th count,2124,0, ELECTED -- 14th count,2124
"Sobrinho-Wheeler, Jivan ",1321, CONTINUING,1321,32, CONTINUING,1353,0, CONTINUING,1353,4, CONTINUING,1357,2, CONTINUING,1359,17, CONTINUING,1376,66, CONTINUING,1442,42, CONTINUING,1484,36, CONTINUING,1520,17, CONTINUING,1537,24, CONTINUING,1561,86, CONTINUING,1647,131, CONTINUING,1778,346, ELECTED -- 14th count,2124,0, ELECTED -- 14th count,2124
