,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13
,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes
"Siddiqui, Sumbul ",4124.0, ELECTED -- 1st count,4124.0,-1942.0, ELECTED -- 1st count,2182.0,0.0, ELECTED -- 1st count,2182.0,0.0, ELECTED -- 1st count,2182.0,0.0, ELECTED -- 1st count,2182.0,0.0, ELECTED -- 1st count,2182.0,0.0, ELECTED -- 1st count,2182.0,0.0, ELECTED -- 1st count,2182.0,0.0, ELECTED -- 1st count,2182.0,0.0, ELECTED -- 1st count,2182.0,0.0, ELECTED -- 1st count,2182.0,0.0, ELECTED -- 1st count,2182.0,0, ELECTED -- 1st count,2182
"Nolan, Patricia M. ",1971.0, CONTINUING,1971.0,172.0, CONTINUING,2143.0,2.0, CONTINUING,2145.0,6.0, CONTINUING,2151.0,8.0, CONTINUING,2159.0,8.0, CONTINUING,2167.0,11.0, CONTINUING,2178.0,4.0, ELECTED -- 8th count,2182.0,0.0, ELECTED -- 8th count,2182.0,0.0, ELECTED -- 8th count,2182.0,0.0, ELECTED -- 8th count,2182.0,0.0, ELECTED -- 8th count,2182.0,0, ELECTED -- 8th count,2182
"Simmons, E. Denise ",1764.0, CONTINUING,1764.0,324.0, CONTINUING,2088.0,1.0, CONTINUING,2089.0,2.0, CONTINUING,2091.0,4.0, CONTINUING,2095.0,8.0, CONTINUING,2103.0,79.0, ELECTED -- 7th count,2182.0,0.0, ELECTED -- 7th count,2182.0,0.0, ELECTED -- 7th count,2182.0,0.0, ELECTED -- 7th count,2182.0,0.0, ELECTED -- 7th count,2182.0,0.0, ELECTED -- 7th count,2182.0,0, ELECTED -- 7th count,2182
"Toner, Paul F. ",1703.0, CONTINUING,1703.0,53.0, CONTINUING,1756.0,0.0, CONTINUING,1756.0,3.0, CONTINUING,1759.0,12.0, CONTINUING,1771.0,5.0, CONTINUING,1776.0,16.0, CONTINUING,1792.0,9.0, CONTINUING,1801.0,12.0, CONTINUING,1813.0,139.0, CONTINUING,1952.0,60.0, CONTINUING,2012.0,84.0, CONTINUING,2096.0,86, ELECTED -- 13th count,2182
"McGovern, Marc C. ",1539.0, CONTINUING,1539.0,229.0, CONTINUING,1768.0,5.0, CONTINUING,1773.0,3.0, CONTINUING,1776.0,9.0, CONTINUING,1785.0,5.0, CONTINUING,1790.0,44.0, CONTINUING,1834.0,21.0, CONTINUING,1855.0,32.0, CONTINUING,1887.0,86.0, CONTINUING,1973.0,82.0, CONTINUING,2055.0,127.0, ELECTED -- 12th count,2182.0,0, ELECTED -- 12th count,2182
"Carlone, Dennis J. ",1493.0, CONTINUING,1493.0,51.0, CONTINUING,1544.0,0.0, CONTINUING,1544.0,6.0, CONTINUING,1550.0,4.0, CONTINUING,1554.0,6.0, CONTINUING,1560.0,9.0, CONTINUING,1569.0,11.0, CONTINUING,1580.0,83.0, CONTINUING,1663.0,39.0, CONTINUING,1702.0,60.0, CONTINUING,1762.0,420.0, ELECTED -- 12th count,2182.0,0, ELECTED -- 12th count,2182
"Azeem, Burhan ",1379.0, CONTINUING,1379.0,187.0, CONTINUING,1566.0,1.0, CONTINUING,1567.0,2.0, CONTINUING,1569.0,1.0, CONTINUING,1570.0,4.0, CONTINUING,1574.0,15.0, CONTINUING,1589.0,54.0, CONTINUING,1643.0,100.0, CONTINUING,1743.0,67.0, CONTINUING,1810.0,145.0, CONTINUING,1955.0,153.0, CONTINUING,2108.0,74, ELECTED -- 13th count,2182
"Zondervan, Quinton Y. ",1295.0, CONTINUING,1295.0,136.0, CONTINUING,1431.0,1.0, CONTINUING,1432.0,4.0, CONTINUING,1436.0,0.0, CONTINUING,1436.0,7.0, CONTINUING,1443.0,14.0, CONTINUING,1457.0,45.0, CONTINUING,1502.0,47.0, CONTINUING,1549.0,43.0, CONTINUING,1592.0,185.0, CONTINUING,1777.0,335.0, CONTINUING,2112.0,70, ELECTED -- 13th count,2182
"Sobrinho-Wheeler, Jivan ",1225.0, CONTINUING,1225.0,138.0, CONTINUING,1363.0,2.0, CONTINUING,1365.0,7.0, CONTINUING,1372.0,1.0, CONTINUING,1373.0,4.0, CONTINUING,1377.0,3.0, CONTINUING,1380.0,49.0, CONTINUING,1429.0,46.0, CONTINUING,1475.0,59.0, CONTINUING,1534.0,187.0, CONTINUING,1721.0,177.0, DEFEATED -- 12th count,1898.0,-1898, DEFEATED -- 12th count,0
